IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
172.65.5.177,4,4,0.00,0.50,0.00
172.65.4.196,4,4,0.00,0.50,0.00
172.65.9.134,4,4,0.00,0.51,0.00
172.65.15.34,4,4,0.00,0.51,0.00
172.65.13.160,4,4,0.00,0.52,0.00
172.65.14.252,4,4,0.00,0.53,0.00
172.65.3.84,4,4,0.00,0.54,0.00
172.65.2.93,4,4,0.00,0.54,0.00
172.65.11.4,4,4,0.00,0.55,0.00
172.65.10.163,4,4,0.00,0.55,0.00
172.65.12.202,4,4,0.00,0.56,0.00
172.65.8.103,4,4,0.00,0.56,0.00
172.65.6.248,4,4,0.00,0.56,0.00
172.65.1.124,4,4,0.00,0.58,0.00
172.65.0.162,4,4,0.00,0.59,0.00
172.65.7.247,4,4,0.00,0.60,0.00
172.64.37.232,4,4,0.00,0.67,0.00
172.65.127.50,4,4,0.00,0.69,0.00
172.65.132.196,4,4,0.00,0.72,0.00
172.65.96.236,4,4,0.00,0.74,0.00
172.65.115.89,4,4,0.00,0.75,0.00
172.65.122.33,4,4,0.00,0.76,0.00
172.65.155.148,4,4,0.00,0.79,0.00
172.67.101.18,4,4,0.00,0.79,0.00
172.65.85.117,4,4,0.00,0.79,0.00
172.65.226.170,4,4,0.00,0.79,0.00
172.64.32.106,4,4,0.00,0.80,0.00
172.65.103.127,4,4,0.00,0.81,0.00
172.64.98.231,4,4,0.00,0.82,0.00
172.65.208.57,4,4,0.00,0.83,0.00
172.65.172.172,4,4,0.00,0.83,0.00
172.65.43.240,4,4,0.00,0.83,0.00
172.65.143.136,4,4,0.00,0.83,0.00
172.65.131.107,4,4,0.00,0.83,0.00
172.65.245.246,4,4,0.00,0.83,0.00
162.159.195.186,4,4,0.00,0.84,0.00
172.65.19.170,4,4,0.00,0.84,0.00
172.65.234.187,4,4,0.00,0.85,0.00
172.65.101.87,4,4,0.00,0.85,0.00
172.64.97.212,4,4,0.00,0.86,0.00
172.65.92.138,4,4,0.00,0.86,0.00
172.65.222.181,4,4,0.00,0.86,0.00
172.67.99.123,4,4,0.00,0.86,0.00
172.65.113.226,4,4,0.00,0.86,0.00
172.64.146.45,4,4,0.00,0.86,0.00
172.64.235.24,4,4,0.00,0.86,0.00
172.65.159.139,4,4,0.00,0.86,0.00
172.65.26.170,4,4,0.00,0.87,0.00
172.67.247.70,4,4,0.00,0.87,0.00
172.64.48.226,4,4,0.00,0.87,0.00
